,Im,m,sm,t,time,vm
0,0.014232829,1,2577,448.75904,0.0,0.0
1,-0.221378371,1,2583,448.8192,0.060159999999996217,4.129501343
2,0.066579901,1,2596,448.889568,0.13052799999996978,4.12868309
3,-0.286684185,1,2609,448.951392,0.1923519999999712,4.118887901
4,-0.105485596,1,2625,449.01712,0.2580799999999499,4.474993706
5,0.183896691,1,2640,449.084384,0.32534399999997277,6.194865704
6,-0.047476113,1,2654,449.146176,0.38713599999999815,4.126638412
7,0.160630628,1,2672,449.212672,0.4536319999999705,6.208403587
8,0.035363205,1,2687,449.274528,0.515487999999948,4.126229763
9,0.145652965,1,2705,449.337952,0.5789119999999457,4.125004292
10,-0.060198214,1,2721,449.402048,0.6430079999999521,6.196094036
11,-0.076770864,1,2740,449.470144,0.7111039999999775,6.193024635
12,-0.111846127,1,2759,449.537472,0.7784319999999525,6.193637848
13,0.148739427,1,2775,449.605536,0.8464959999999451,6.190570831
14,0.01642032,1,2794,449.667328,0.9082879999999705,6.201627254
15,0.202041686,1,2811,449.735936,0.9768959999999538,6.205937862
16,0.179789439,1,2833,449.808672,1.0496319999999741,6.715375423
17,-0.071252547,1,2855,449.88752,1.1284799999999677,6.189957619
18,-0.101087831,1,2875,449.957888,1.1988479999999981,6.713932514
19,-0.136316031,1,2892,450.020576,1.2615359999999782,6.190570831
20,-0.03296534,1,2911,450.08864,1.3295999999999708,4.476917267
21,0.163426638,1,2928,450.1504,1.3913599999999633,6.206554413
22,-0.213413179,1,2948,450.219936,1.460895999999991,6.193637848
23,0.122921333,1,2968,450.288832,1.5297919999999863,6.184444904
24,0.218697995,1,2985,450.350688,1.5916479999999638,6.193024635
25,0.038624678,1,3005,450.425696,1.666655999999989,6.207787037
26,0.022894453,1,3025,450.493728,1.7346879999999487,6.204705715
27,0.289566845,1,3045,450.55792,1.798879999999997,6.708888054
28,0.02490996,1,3062,450.62048,1.8614399999999591,6.193024635
29,-0.14362587,1,3079,450.68608,1.9270399999999768,6.199781895
30,0.022186546,1,3099,450.747904,1.9888639999999782,6.706728458
31,0.060506385,1,3119,450.816672,2.0576319999999555,6.186281204
32,0.19204393,1,3136,450.883136,2.124095999999952,6.204089642
33,0.011950899,1,3153,450.944832,2.185791999999992,4.479323864
34,0.155951142,1,3173,451.011296,2.2522559999999885,4.130729198
35,0.240191549,1,3191,451.074688,2.3156479999999533,6.191183567
36,0.377919197,1,3211,451.143488,2.3844479999999635,6.195479393
37,0.077922404,1,3228,451.20448,2.4454399999999623,6.188731194
38,-0.065550968,1,3248,451.271808,2.512767999999994,6.704569817
39,0.199224651,1,3268,451.339136,2.580095999999969,6.198552132
40,-0.007595873,1,3288,451.4072,2.6481599999999617,6.202242851
41,0.068151772,1,3305,451.473632,2.714591999999982,6.194251537
42,0.130800724,1,3323,451.534656,2.775615999999957,6.208403587
43,0.088762812,1,3343,451.600352,2.8413119999999594,6.190570831
44,-0.057347748,1,3363,451.66992,2.9108799999999633,6.196094036
45,0.276636034,1,3380,451.731776,2.9727359999999976,6.708167553
46,-0.125271261,1,3397,451.794368,3.0353279999999927,6.196094036
47,0.012790782,1,3417,451.861664,3.1026239999999916,4.129501343
48,0.007030752,1,3437,451.927328,3.1682879999999614,6.197937012
49,0.125579193,1,3455,451.993728,3.2346879999999487,6.202242851
50,-0.096514747,1,3475,452.060192,3.301151999999945,6.71681881
51,-0.33694613,1,3495,452.129056,3.370015999999964,6.189344406
52,-0.096374229,1,3512,452.190848,3.4318079999999895,6.199781895
53,0.077697746,1,3532,452.260448,3.5014079999999694,6.193637848
54,0.12852025,1,3550,452.322304,3.563263999999947,6.195479393
55,-0.076243281,1,3567,452.383232,3.6241919999999936,6.185057163
56,-0.085872039,1,3587,452.452064,3.69302399999998,6.201627254
57,-0.068759248,1,3607,452.519392,3.760351999999955,6.713212013
58,0.08721707,1,3627,452.589792,3.8307519999999613,6.199166775
59,0.031756889,1,3647,452.65696,3.897919999999999,6.197937012
60,0.047459263,1,3664,452.72112,3.9620799999999576,4.133187771
